ID,Category,CategoryForExport,Subcategory,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity,OMP
19.1.3.1,Administrative Templates: Control Panel,Administrative Templates (User),Control Panel: Personalization,Enable screen saver,Registry,,HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop,ScreenSaveActive,,,,,1,=,Medium,n.d
19.1.3.2,Administrative Templates: Control Panel,Administrative Templates (User),Control Panel: Personalization,Force specific screen saver: Screen saver executable name,Registry,,HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop,SCRNSAVE.EXE,,,,0,scrnsave.scr,=,Medium,n.d
19.1.3.3,Administrative Templates: Control Panel,Administrative Templates (User),Control Panel: Personalization,Password protect the screen saver,Registry,,HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop,ScreenSaverIsSecure,,,,,1,=,Medium,n.d
19.1.3.4,Administrative Templates: Control Panel,Administrative Templates (User),Control Panel: Personalization,Screen saver timeout,Registry,,HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop,ScreenSaveTimeOut,,,,15,900,<=!0,Medium,n.d
19.5.1.1,Administrative Templates: Start Menu and Taskbar,Administrative Templates (User),Start Menu and Taskbar: Notifications,Notifications: Turn off toast notifications on the lock screen,Registry,,HKCU:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications,NoToastApplicationNotificationOnLockScreen,,,,0,1,=,Medium,n.d
19.6.6.1.1,Administrative Templates: System,Administrative Templates (User),System: Internet Communication Management,Internet Communication Management: Internet Communication Settings: Turn off Help Experience Improvement Program,Registry,,HKCU:\Software\Policies\Microsoft\Assistance\Client\1.0,NoImplicitFeedback,,,,0,1,=,Medium,n.d
19.7.4.1,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Attachment Manager,Attachment Manager: Do not preserve zone information in file attachments,Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments,SaveZoneInformation,,,,2,2,=,Medium,n.d
19.7.4.2,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Attachment Manager,Attachment Manager: Notify antivirus programs when opening attachments,Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments,ScanWithAntiVirus,,,,1,3,=,Medium,n.d
19.7.8.1,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Cloud Content,Cloud Content: Configure Windows spotlight on lock screen,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,ConfigureWindowsSpotlight,,,,1,2,=,Medium,n.d
19.7.8.2,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Cloud Content,Cloud Content: Do not suggest third-party content in Windows spotlight,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableThirdPartySuggestions,,,,0,1,=,Medium,n.d
19.7.8.3,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Cloud Content,Cloud Content: Do not use diagnostic data for tailored experiences,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableTailoredExperiencesWithDiagnosticData,,,,0,1,=,Medium,n.d
19.7.8.4,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Cloud Content,Cloud Content: Turn off all Windows spotlight features,Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableWindowsSpotlightFeatures,,,,0,1,=,Medium,n.d
19.7.28.1,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Network Sharing,Network Sharing: Prevent users from sharing files within their profile,Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoInplaceSharing,,,,0,1,=,Medium,n.d
19.7.43.1,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Windows Installer,Windows Installer: Always install with elevated privileges,Registry,,HKCU:\Software\Policies\Microsoft\Windows\Installer,AlwaysInstallElevated,,,,0,1,=,Medium,n.d
19.7.47.2.1,Administrative Templates: Windows Components,Administrative Templates (User),Windows Components: Windows Media Player: Playback,Windows Media Player: Playback: Prevent Codec Download,Registry,,HKCU:\Software\Policies\Microsoft\WindowsMediaPlayer,PreventCodecDownload,,,,,1,=,Medium,n.d
